#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-23T23:05:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-23T23:05:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/132/161/table2&-order=I&-out=Name&-out=HIP&-out=n_HIP&-out=HD/DM&-out=SpType&-out=n_SpType&-out=Teff&-out=log(g)&-out=VTurb&-out=[M/H]&-out.all=2&-out=Note&-out=Fit&-out=SMW&-out=logR&-out=AC&-out=n_AC&-out=Obs&-out=t5&-out=SimbadName&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51320161
#Name: J/AJ/132/161
#Title: NStars project: The southern sample. I. (Gray+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	creator=Gray R.O.	    First author or institution
#INFO	cites=bibcode:2006AJ....132..161G	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/132/161	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51320161	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-11-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_132_161_table2:
#Name: J/AJ/132/161/table2
#Title: Spectral types, basic physical parameters and chromospheric indices
#Column	Name	(A10)	Star name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos catalog designation	[ucd=meta.id]
#Column	n_HIP	(A1)	[*] For HIP 117815, 2 HD designations	[ucd=meta.note]
#Column	HD/DM	(a8)	The HD or DM designation	[ucd=meta.id]
#Column	SpType	(a22)	MK Spectral type	[ucd=src.spType]
#Column	n_SpType	(A1)	[*] Note on the spectral type in notes.dat file	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	VTurb	(F4.1)	? Microturbulent velocity	[ucd=phys.veloc]
#Column	[M/H]	(F5.2)	? Overall metal abundance (2)	[ucd=phys.abund.Z]
#Column	Note	(A1)	[*] indicates a note detailed in notes.dat file	[ucd=meta.note]
#Column	Fit	(A1)	[K] Remark on the fitting process (3)	[ucd=meta.note]
#Column	SMW	(F6.3)	? Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	logR	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	AC	(A2)	Chromospheric activity class (4)	[ucd=src.class]
#Column	n_AC	(A1)	[*] Note on the chromospheric activity in notes.dat file	[ucd=meta.note]
#Column	Obs	(a7)	Spectrum source (5)	[ucd=meta.id;instr.tel]
#Column	t5	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;HIP;n_HIP;HD/DM;SpType;n_SpType;Teff;log(g);VTurb;[M/H];Note;Fit;SMW;logR;AC;n_AC;Obs;t5;SimbadName;_RA;_DE
HIP  85523; 85523; ;        ;M2+ V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  85523       ;262.16644;-46.89519
HIP  85533; 85533; ;323684  ;K6+ V (k)             ; ;     ;     ;    ;     ; ; ; 1.104; -4.685;A ; ;CTIO   ; ;HIP  85533       ;262.19194;-41.66397
HIP  85561; 85561; ;158233  ;K7- V (k)             ; ;     ;     ;    ;     ; ; ; 1.092; -4.690;A ; ;SO     ; ;HIP  85561       ;262.27732;-23.83611
HIP  85960; 85960; ;158630  ;G0 V                  ; ; 5929; 4.47; 1.0;-0.19; ; ; 0.168; -4.922;I ; ;CTIO   ; ;HIP  85960       ;263.52196;-59.77578
HIP  86051; 86051; ;159215  ;K0 V                  ; ; 5208; 4.63; 1.0;-0.43; ; ; 0.149; -5.096;I ; ;CTIO   ; ;HIP  86051       ;263.78485;-38.62446
HIP  86057; 86057; ;A       ;M1.5 V                ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  86057       ;263.80674;-48.68087
HIP  86057; 86057; ;B       ;M3 V                  ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  86057       ;263.80674;-48.68087
HIP  86263; 86263; ;159876  ;A9 IIIp (Sr)          ; ; 7388; 3.55; 2.8; 0.07; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  86263       ;264.39667;-15.39855
HIP  86289; 86289; ;159656  ;G1 V                  ; ; 5767; 4.39; 1.0;-0.06; ; ; 0.212; -4.749;A ; ;CTIO   ; ;HIP  86289       ;264.47477;-42.56757
HIP  86419; 86419; ;160001  ;G1 V                  ; ; 5750; 4.39; 1.0;-0.18; ; ; 0.190;       ;  ; ;CTIO   ; ;HIP  86419       ;264.87309;-39.34424
HIP  86486; 86486; ;160032  ;F4 V                  ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  86486       ;265.09927;-49.41558
HIP  86489; 86489; ;        ;K2 III                ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  86489       ;265.11135;-43.86591
HIP  86661; 86661; ;160836  ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.776; -4.483;A ; ;SO     ; ;HIP  86661       ;265.60509;-09.07603
HIP  86736; 86736; ;160915  ;F5 V                  ; ; 6465; 4.13; 2.0;-0.27; ; ; 0.197; -4.698;A ; ;SO     ; ;HIP  86736       ;265.85747;-21.68319
HIP  86796; 86796; ;160691  ;G3 IV-V               ; ; 5748; 4.19; 1.0; 0.18; ; ; 0.146; -5.101;VI; ;CTIO   ; ;HIP  86796       ;266.03627;-51.83405
HIP  86991; 86991; ;160859  ;G1 V                  ; ; 5881; 4.46; 1.0;-0.06; ; ; 0.160; -4.983;I ; ;CTIO   ;S;HIP  86991       ;266.64970;-62.75184
HIP  87000; 87000; ;        ;A1 III-IV             ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  87000       ;266.66979;-21.50539
HIP  87091; 87091; ;158866  ;K2.5 V (k)            ; ; 4740; 4.59; 1.0;-0.07; ; ; 0.591; -4.502;A ; ;CTIO   ; ;HIP  87091       ;266.92785;-82.21644
HIP  87116; 87116; ;161612  ;G8 V                  ; ; 5521; 4.40; 1.0; 0.06; ; ; 0.165; -4.999;I ; ;SO     ; ;HIP  87116       ;266.98979;-34.01888
HIP  87261; 87261; ;161892  ;K2 III                ; ;     ;     ;    ;     ; ; ; 0.190;       ;  ; ;CTIO   ; ;HIP  87261       ;267.46450;-37.04330
HIP  87292; 87292; ;161296  ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.433; -4.632;A ; ;CTIO   ; ;HIP  87292       ;267.54050;-67.49246
HIP  87330; 87330; ;162020  ;K3- V k               ; ; 4702; 4.61; 1.0;-0.16; ; ; 0.707; -4.392;A ; ;CTIO   ; ;HIP  87330       ;267.65981;-40.31836
HIP  87453; 87453; ;        ;K2 III                ; ;     ;     ;    ;     ; ; ; 0.141;       ;  ; ;CTIO   ; ;HIP  87453       ;268.03793;-24.66679
HIP  87523; 87523; ;162396  ;F9 V Fe-0.7 CH-0.4    ; ; 6089; 4.16; 1.0;-0.39; ; ; 0.182; -4.797;I ; ;CTIO   ; ;HIP  87523       ;268.21910;-41.99652
HIP  87784; 87784; ;        ;K2 III                ;*;     ;     ;    ;     ; ; ; 0.190;       ;  ; ;CTIO   ; ;HIP  87784       ;268.97953;-70.52712
HIP  87822; 87822; ;162521  ;F5 V                  ; ; 6521; 4.28; 2.0;-0.13; ; ; 0.257; -4.494;A ; ;CTIO   ; ;HIP  87822       ;269.10122;-65.72174
HIP  87925; 87925; ;163573  ;K6+ V                 ; ;     ;     ;    ;     ; ; ; 0.896; -4.792;I ; ;CTIO   ; ;HIP  87925       ;269.42065;-21.71960
HIP  88033; 88033; ;316899  ;K0 V Fe-0.5           ; ; 5108; 4.68; 1.0;-0.52; ; ; 0.149; -5.094;I ; ;CTIO/SO; ;HIP  88033       ;269.72201;-30.17194
HIP  88169; 88169; ;        ;K4.5 V                ; ;     ;     ;    ;     ; ; ; 0.263; -5.030;I ; ;CTIO   ; ;HIP  88169       ;270.10877;-61.70114
HIP  88371; 88371; ;        ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 1.270; -4.640;A ; ;CTIO   ; ;HIP  88371       ;270.68023;-62.97938
HIP  88414; 88414; ;164604  ;K3.5 V (k)            ; ; 4586; 4.41; 1.0;-0.07; ; ; 0.553; -5.187;VI; ;CTIO   ; ;HIP  88414       ;270.77889;-28.56065
HIP  88531; 88531; ;164427  ;G0+ V                 ; ; 5876; 4.19; 1.0; 0.00; ; ; 0.154; -5.023;I ; ;CTIO   ; ;HIP  88531       ;271.17746;-59.20957
HIP  88553; 88553; ;164748  ;G8 V                  ; ; 5460; 4.57; 1.0;-0.09; ; ; 0.217; -4.772;I ; ;CTIO   ; ;HIP  88553       ;271.22389;-44.66219
HIP  88635; 88635; ;165135  ;K1 III                ; ;     ;     ;    ;     ; ; ; 0.148;       ;  ; ;CTIO/SO; ;HIP  88635       ;271.45203;-30.42409
HIP  88694; 88694; ;165185  ;G0 V                  ; ; 5906; 4.44; 1.0;-0.07; ; ; 0.275; -4.545;A ; ;CTIO/SO; ;HIP  88694       ;271.59883;-36.01979
HIP  88908; 88908; ;165814B ;B9 IV                 ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  88908       ;272.22893;-25.47144
HIP  88932; 88932; ;165893  ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.557; -4.662;A ; ;CTIO   ; ;HIP  88932       ;272.30072;-22.18373
HIP  88942; 88942; ;165920  ;K1 IV                 ; ;     ;     ;    ;     ; ; ; 0.141;       ;  ; ;CTIO   ; ;HIP  88942       ;272.32366;-22.90844
HIP  89042; 89042; ;165499  ;G0 V                  ; ; 5976; 4.30; 1.0; 0.02; ; ; 0.165; -4.935;I ; ;CTIO   ;S;HIP  89042       ;272.60896;-62.00224
HIP  89211; 89211; ;166348  ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 1.293; -4.665;A ; ;CTIO   ; ;HIP  89211       ;273.08913;-43.44485
HIP  89497; 89497; ;167359  ;K0- V                 ; ; 5328; 4.58; 1.0;-0.10; ; ; 0.177; -4.948;I ; ;CTIO   ; ;HIP  89497       ;273.95446;-23.81595
HIP  89620; 89620; ;167665  ;F9 V Fe-0.8 CH-0.4    ; ; 6144; 4.28; 1.0;-0.24; ; ; 0.167; -4.892;I ; ;SO     ; ;HIP  89620       ;274.34899;-28.28894
HIP  89766; 89766; ;167981  ;K3+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.641; -4.508;A ; ;CTIO   ; ;HIP  89766       ;274.77314;-35.15691
HIP  89805; 89805; ;167425  ;F9.5 V                ; ; 6046; 4.35; 1.0; 0.06; ; ; 0.244; -4.606;A ; ;CTIO   ; ;HIP  89805       ;274.91721;-63.88656
HIP  89808; 89808; ;167954  ;F9 V                  ; ; 6250; 4.27; 1.0; 0.09; ; ; 0.166; -4.889;I ; ;CTIO   ; ;HIP  89808       ;274.92202;-45.69916
HIP  89825; 89825; ;168442  ;K7 V k                ; ;     ;     ;    ;     ; ; ; 1.717; -4.620;A ; ;SO     ; ;HIP  89825       ;274.96184;-01.93861
HIP  89844; 89844; ;168443  ;G6 V                  ; ; 5495; 4.09; 1.0;-0.07; ; ; 0.139; -5.158;VI; ;SO     ; ;HIP  89844       ;275.01639;-09.59572
HIP  90147; 90147; ;        ;M0.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  90147       ;275.95102;-05.15023
HIP  90223; 90223; ;168871  ;G0- V                 ; ; 5997; 4.29; 1.0;-0.09; ; ; 0.161; -4.955;I ; ;CTIO   ;S;HIP  90223       ;276.13807;-49.65288
HIP  90246; 90246; ;-06 4756;K5- V k               ; ;     ;     ;    ;     ; ; ; 1.188; -4.506;A ; ;SO     ; ;HIP  90246       ;276.20504;-06.35396
HIP  90466; 90466; ;        ;K6+ V                 ; ;     ;     ;    ;     ; ; ; 0.402; -4.964;I ; ;CTIO   ; ;HIP  90466       ;276.89898;-51.06026
HIP  90485; 90485; ;169830  ;F7 V                  ; ; 6252; 3.99; 1.0; 0.06; ; ; 0.150; -4.992;I ; ;SO     ; ;HIP  90485       ;276.95619;-29.81686
HIP  90496; 90496; ;169916  ;K0 IV                 ; ;     ;     ;    ;     ; ; ; 0.141;       ;  ; ;SO     ; ;HIP  90496       ;276.99267;-25.42170
HIP  90568; 90568; ;169767  ;K1 III-IV             ; ;     ;     ;    ;     ; ; ; 0.149;       ;  ; ;CTIO   ; ;HIP  90568       ;277.20775;-49.07059
HIP  90601; 90601; ;        ;G1 IV-V               ; ;     ;     ;    ;     ; ; ; 0.188; -4.834;I ; ;SO     ; ;HIP  90601       ;277.31113;-02.77628
HIP  90611; 90611; ;170209  ;K5- V (k)             ; ;     ;     ;    ;     ; ; ; 0.725; -4.771;I ; ;SO     ; ;HIP  90611       ;277.34293;-27.97195
HIP  90706; 90706; ;A       ;K6.5 V (k)            ;*;     ;     ;    ;     ; ; ; 0.752;       ;  ; ;CTIO   ; ;HIP  90706       ;277.60299;-35.80550
HIP  90706; 90706; ;B       ;K8 V                  ;*;     ;     ;    ;     ; ; ; 0.808;       ;  ; ;CTIO   ; ;HIP  90706       ;277.60299;-35.80550
HIP  90724; 90724; ;170368  ;F5 III-IVp kF3 SrCrEu:;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  90724       ;277.64881;-36.40662
HD 170368B;      ; ;170368B ;G5 III                ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;CD-36 12714B     ;277.64799;-36.40436
HIP  90790; 90790; ;170657  ;K2 V                  ; ;     ;     ;    ;     ; ; ; 0.263; -4.759;I ; ;SO     ; ;HIP  90790       ;277.82900;-18.90881
HIP  90936; 90936; ;170773  ;F5 V                  ; ; 6606; 4.26; 1.8;-0.04; ; ; 0.297; -4.389;A ; ;CTIO   ; ;HIP  90936       ;278.25382;-39.89202
HIP  90945; 90945; ;170573  ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.492; -4.779;I ; ;CTIO   ; ;HIP  90945       ;278.27117;-54.26319
HIP  91154; 91154; ;170915  ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.846; -4.605;A ; ;CTIO   ; ;HIP  91154       ;278.95764;-61.22690
HIP  91287; 91287; ;171665  ;G4 V                  ; ; 5665; 4.46; 1.0;-0.04; ; ; 0.150; -5.073;I ; ;CTIO   ;S;HIP  91287       ;279.30350;-25.67127
HIP  91438; 91438; ;172051  ;G6 V                  ; ; 5601; 4.53; 1.0;-0.22; ; ; 0.173; -4.928;I ; ;SO     ; ;HIP  91438       ;279.72251;-21.05187
HIP  91638; 91638; ;171825  ;K2.5 V (k)            ; ; 4800; 4.60; 1.0;-0.11; ; ; 0.492; -4.600;A ; ;CTIO   ; ;HIP  91638       ;280.31926;-63.53438
HIP  91700; 91700; ;172513  ;G8 V                  ; ; 5465; 4.47; 1.0;-0.10; ; ; 0.165; -5.001;I ; ;CTIO   ; ;HIP  91700       ;280.50982;-34.46633
HIP  91862; 91862; ;        ;K5 V                  ; ;     ;     ;    ;     ; ; ; 0.197; -5.097;I ; ;CTIO   ; ;HIP  91862       ;280.92418;-40.05866
HIP  92024; 92024; ;172555  ;A7 V                  ; ; 7846; 4.18; 2.2; 0.09;*; ;      ;       ;  ; ;CTIO   ; ;HIP  92024       ;281.36209;-64.87126
HIP  92250; 92250; ;173872  ;K2 V                  ; ;     ;     ;    ;     ; ; ; 0.173; -5.024;I ; ;SO     ; ;HIP  92250       ;282.00609;-10.14631
HIP  92444; 92444; ;        ;K8 V k                ; ;     ;     ;    ;     ; ; ; 1.758; -4.769;I ; ;SO     ; ;HIP  92444       ;282.58818;-26.92363
HIP  92742; 92742; ;174545  ;K2 IV                 ; ; 5250; 4.29; 1.0; 0.40;*; ; 0.175; -5.012;I ; ;CTIO   ; ;HIP  92742       ;283.48860;-54.90628
HIP  92755; 92755; ;174564  ;K4+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.881; -4.555;A ; ;CTIO   ; ;HIP  92755       ;283.52703;-54.35608
HIP  92756; 92756; ;        ;K6+ V (k)             ; ;     ;     ;    ;     ; ; ; 1.594; -4.526;A ; ;CTIO   ; ;HIP  92756       ;283.52780;-54.35318
HIP  92759; 92759; ;        ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.518; -4.535;A ; ;CTIO   ; ;HIP  92759       ;283.53615;-36.65656
HIP  92798; 92798; ;        ;K5 V                  ; ;     ;     ;    ;     ; ; ; 0.344; -4.741;A ; ;CTIO   ; ;HIP  92798       ;283.63362;-22.58133
HIP  92858; 92858; ;175073  ;K1 V                  ; ; 5017; 4.54; 1.0;-0.25; ; ; 0.210; -4.889;I ; ;CTIO   ; ;HIP  92858       ;283.82838;-37.49835
HIP  92882; 92882; ;175317  ;F5 V                  ; ; 6552; 4.11; 2.0;-0.04; ; ; 0.217; -4.612;A ; ;CTIO/SO; ;HIP  92882       ;283.87919;-16.37664
HIP  93072; 93072; ;        ;K9 V (k)              ; ;     ;     ;    ;     ; ; ; 1.397; -4.842;I ; ;SO     ; ;HIP  93072       ;284.38604;-19.04635
HIP  93174; 93174; ;175813  ;F4 V Fe-0.8 comp      ;*; 6647; 3.50; 2.1;-0.30; ; ;      ;       ;  ; ;CTIO   ; ;HIP  93174       ;284.68077;-37.10733
HIP  93398; 93398; ;176535  ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.430; -4.748;A ; ;CTIO   ; ;HIP  93398       ;285.33121;-13.69069
HIP  93449; 93449; ;        ;B5 IIIpe              ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  93449       ;285.47369;-36.95226
HIP  93506; 93506; ;176687  ;A2.5 Va               ; ; 8799; 3.90; 2.0; 0.11; ; ;      ;       ;  ; ;SO     ; ;HIP  93506       ;285.65304;-29.88006
HIP  93540; 93540; ;176986  ;K2.5 V                ; ;     ;     ;    ;     ; ; ; 0.240; -4.885;I ; ;SO     ; ;HIP  93540       ;285.77447;-11.04393
HIP  93825; 93825; ;177474  ;F8 V                  ; ; 6202; 4.10; 1.0;-0.09; ; ; 0.165; -4.890;I ; ;CTIO/SO; ;HIP  93825       ;286.60463;-37.06344
HIP  93827; 93827; ;177758  ;G2 V Fe-1.0 CH-0.6    ; ; 5917; 4.29; 1.0;-0.57; ; ; 0.176; -4.859;I ; ;CTIO/SO; ;HIP  93827       ;286.60550;-11.89741
HIP  93858; 93858; ;177565  ;G6 V                  ; ; 5624; 4.38; 1.0; 0.09; ; ; 0.167; -4.973;I ; ;CTIO/SO; ;HIP  93858       ;286.71860;-37.81066
HIP  93864; 93864; ;177716  ;K1 III                ; ;     ;     ;    ;     ; ; ; 0.184;       ;  ; ;CTIO/SO; ;HIP  93864       ;286.73502;-27.67045
HIP  93966; 93966; ;178428  ;G4 V CN+0.5           ; ; 5558; 4.28; 1.0;-0.01; ; ; 0.145; -5.110;VI; ;CTIO   ; ;HIP  93966       ;286.98883;+16.85338
HIP  94020; 94020; ;178076  ;G8.5 V (k)            ; ; 5408; 4.44; 1.0; 0.07; ; ; 0.358; -4.525;A ; ;CTIO/SO; ;HIP  94020       ;287.13221;-30.97265
HIP  94020; 94020; ;178076B ;K5.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.367;       ;  ; ;SO     ; ;HIP  94020       ;287.13221;-30.97265
HIP  94050; 94050; ;177996  ;K1.5 V (k)            ; ; 4998; 4.27; 1.0;-0.02; ; ; 0.580; -4.355;A ; ;CTIO   ; ;HIP  94050       ;287.21034;-42.42812
HIP  94114; 94114; ;178253  ;A2 Va                 ; ; 8950; 3.79; 2.0;-0.32; ; ;      ;       ;  ; ;SO     ; ;HIP  94114       ;287.36809;-37.90447
HIP  94150; 94150; ;177389  ;K0 IV                 ; ;     ;     ;    ;     ; ; ; 0.125;       ;  ; ;CTIO   ; ;HIP  94150       ;287.47028;-68.42445
HIP  94154; 94154; ;177409  ;G1 V CH-0.4           ; ; 5894; 4.46; 1.0;-0.03; ; ; 0.171; -4.902;I ; ;CTIO   ;S;HIP  94154       ;287.47731;-68.29969
HIP  94225; 94225; ;178445  ;K6.5 V                ; ;     ;     ;    ;     ; ; ; 0.981; -4.816;I ; ;CTIO   ; ;HIP  94225       ;287.71779;-47.15862
HIP  94595; 94595; ;        ;M0.5 V k              ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  94595       ;288.75627;-32.41659
HIP  94645; 94645; ;179949  ;F8.5 V                ; ; 6124; 3.86; 1.0; 0.11; ; ; 0.190; -4.782;I ; ;SO     ; ;HIP  94645       ;288.88846;-24.17935
HIP  94739; 94739; ;179930  ;M0 V (k)              ; ;     ;     ;    ;     ; ; ; 2.123; -4.646;A ; ;CTIO   ; ;HIP  94739       ;289.17881;-45.88937
HIP  94757; 94757; ;180409  ;F9 V                  ; ; 6002; 4.23; 1.0;-0.27; ; ; 0.172; -4.883;I ; ;SO     ; ;HIP  94757       ;289.21756;-10.97178
HIP  95106; 95106; ;181199  ;G0.5 V                ; ; 5616; 4.47; 1.0;-0.44; ; ; 0.164;       ;  ; ;CTIO   ; ;HIP  95106       ;290.22324;-33.05300
HIP  95110; 95110; ;181199B ;K2 V                  ; ;     ;     ;    ;     ; ; ; 0.226; -4.700;A ; ;CTIO   ; ;HIP  95110       ;290.22693;-33.05517
HIP  95149; 95149; ;181321  ;G1 V                  ; ; 5810; 4.49; 1.0;-0.08; ; ; 0.374; -4.372;A ; ;CTIO/SO; ;HIP  95149       ;290.37387;-34.98343
HIP  95168; 95168; ;181577  ;A9 IV                 ; ; 7562; 3.59; 2.0; 0.16; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  95168       ;290.41816;-17.84720
HIP  95326; 95326; ;        ;K2.5 V                ; ;     ;     ;    ;     ; ; ; 0.242;       ;  ; ;CTIO   ; ;HIP  95326       ;290.91235;-39.18918
HIP  95417; 95417; ;        ;K8 V (k)              ; ;     ;     ;    ;     ; ; ; 1.302; -4.801;I ; ;SO     ; ;HIP  95417       ;291.14265;-22.06218
HIP  95467; 95467; ;181433  ;K3 III-IV             ; ; 4900; 4.49; 1.0; 0.50; ; ; 0.163; -5.155;VI; ;CTIO   ; ;HIP  95467       ;291.28987;-66.46880
HIP  95722; 95722; ;183063  ;G8 V                  ; ; 5420; 4.25; 1.0; 0.06; ; ; 0.197; -4.857;I ; ;CTIO/SO; ;HIP  95722       ;292.05129;-12.14483
HIP  95849; 95849; ;183216  ;F8.5 V Fe+0.4         ; ; 6000; 4.36; 1.0; 0.11; ; ; 0.226; -4.674;A ; ;CTIO/SO; ;HIP  95849       ;292.41905;-30.79776
HIP  95932; 95932; ;183028  ;F5 V                  ; ; 6542; 4.27; 1.9;-0.07; ; ; 0.205; -4.654;A ; ;CTIO   ; ;HIP  95932       ;292.64422;-55.11005
HIP  96085; 96085; ;183870  ;K2.5 V (k)            ; ; 4896; 4.50; 1.0;-0.15; ; ; 0.488; -4.512;A ; ;SO     ; ;HIP  96085       ;293.02793;-11.27494
HIP  96113; 96113; ;183783  ;K4+ V                 ; ;     ;     ;    ;     ; ; ; 0.324; -4.935;I ; ;CTIO/SO; ;HIP  96113       ;293.12612;-35.45173
HIP  96124; 96124; ;183877  ;G8 V Fe-1 CH-0.5      ; ; 5553; 4.47; 1.0;-0.32; ; ; 0.180; -4.898;I ; ;SO     ; ;HIP  96124       ;293.16805;-28.01981
HIP  96334; 96334; ;183414  ;G1.5 V                ; ; 5788; 4.57; 1.0; 0.06; ; ; 0.384; -4.371;A ; ;CTIO   ; ;HIP  96334       ;293.79050;-69.97558
HIP  96370; 96370; ;184509  ;F8.5 V                ; ; 6076; 4.35; 1.0;-0.20; ; ; 0.171; -4.880;I ; ;CTIO/SO; ;HIP  96370       ;293.89910;-20.78209
HIP  96536; 96536; ;184985  ;F6.5 V                ; ; 6320; 3.91; 2.0;-0.07; ; ; 0.158; -4.920;I ; ;CTIO/SO; ;HIP  96536       ;294.39339;-14.30180
HIP  96635; 96635; ;185181  ;K1 IV k               ;*;     ;     ;    ;     ; ; ; 0.853; -4.185;VA;*;CTIO/SO; ;HIP  96635       ;294.71480;-25.87194
HIP  96643; 96643; ;185342B ;F2 V                  ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  96643       ;294.73251;-10.33406
HIP  96646; 96646; ;185342A ;A0.5 Vb(n)            ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  96646       ;294.73541;-10.33909
HD 185342C;      ; ;185342C ;K1 III                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;TYC 5727-2013-1  ;294.74414;-10.34990
HIP  96710; 96710; ;        ;M1 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  96710       ;294.90071;-26.75196
HIP  96861; 96861; ;185283  ;K3 V                  ; ;     ;     ;    ;     ; ; ; 0.197; -5.097;I ; ;CTIO   ; ;HIP  96861       ;295.32463;-56.32188
HIP  96901; 96901; ;186427  ;G3 V                  ; ; 5728; 4.33; 1.0; 0.05; ; ; 0.154; -5.041;I ; ;SO     ;S;HIP  96901       ;295.46655;+50.51752
HIP  97063; 97063; ;186185  ;F6 IV-V               ; ; 6470; 3.93; 2.3;-0.02; ; ; 0.291; -4.420;A ; ;CTIO/SO; ;HIP  97063       ;295.88978;-15.47002
HIP  97156; 97156; ;186061  ;K2.5 V (k)            ; ; 4901; 4.51; 1.0; 0.05; ; ; 0.219; -4.985;I ; ;CTIO   ; ;HIP  97156       ;296.21838;-52.33634
HIP  97358; 97358; ;186803  ;G6 V                  ; ; 5586; 4.48; 1.0;-0.07; ; ; 0.238; -4.694;A ; ;CTIO/SO; ;HIP  97358       ;296.82542;-18.74666
HIP  97370; 97370; ;186651  ;F9.5 V                ; ; 6085; 4.31; 1.0; 0.05; ; ; 0.170; -4.888;I ; ;CTIO   ; ;HIP  97370       ;296.85456;-43.34512
HIP  97405; 97405; ;186853  ;G5 V                  ; ; 5693; 4.46; 1.0;-0.01; ; ; 0.175; -4.920;I ; ;CTIO/SO;S;HIP  97405       ;296.96293;-29.15928
HIP  97650; 97650; ;187532  ;F5 V Fe-1 CH-0.7      ; ; 6812; 4.16; 2.0;-0.18; ; ; 0.365; -4.249;A ; ;SO     ; ;HIP  97650       ;297.69493;-10.76351
