#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
23 Lib                 ;  132; 45;4454;168;2004-02-15T08:32:12.434;2016-04-26T07:16:56.031; 6.492; 0.010;1997A&A...323L..49P; 0.699; 0.020;2007A&A...474..653V; 38.168; 0.075;2018A&A...616A...1G;  26.20;2;G3;5740; 23.0; 4.17; 0.04; 0.25; 0.02;2013A&A...556A.150S;      ;      ;      ;      ;      ;      ; 0.1497; 0.1498; 0.0006; 0.0013;-5.1113;-5.1106; 0.0043; 0.774; 0.775; 0.008; 0.017;Simbad;228.36945;-25.30935
33 Sex                 ;   61; 29;1896;152;2003-12-25T07:39:05.940;2009-03-04T06:57:39.005; 6.248; 0.010;1997A&A...323L..49P; 0.879; 0.003;2007A&A...474..653V; 26.525; 0.045;2018A&A...616A...1G;  37.70;0;K1;5179; 31.0; 3.87; 0.11; 0.06; 0.02;thiswork           ; 1.343; 0.013; 2.518; 0.045; 3.817; 0.057; 0.1389; 0.1386; 0.0007; 0.0032;-5.1493;-5.1507; 0.0035; 0.709; 0.707; 0.006; 0.026;Simbad;160.35077;-01.74149
35 Peg                 ;    5;  1;   1;139;2004-07-04T07:45:14.740;2004-07-04T10:17:46.825; 4.758; 0.010;1997A&A...323L..49P; 1.031; 0.015;2007A&A...474..653V; 21.004; 0.242;2018A&A...616A...1G;  47.61;0;K3;4775; 55.0; 3.11; 0.27;-0.18; 0.04;thiswork           ; 1.340; 0.103; 8.131; 0.293; 3.603; 0.861; 0.1079; 0.1079; 0.0006; 0.0000;-5.3090;-5.3090; 0.0028; 0.491; 0.491; 0.003; 0.000;Simbad;336.96468;+04.69566
37 Cet                 ;   38; 16;3304;218;2006-09-08T08:45:44.426;2015-09-25T09:20:23.652; 5.165; 0.010;1997A&A...323L..49P; 0.457; 0.016;2007A&A...474..653V; 41.830; 0.180;2018A&A...616A...1G;  23.91;0;F5;6539; 64.0; 3.99; 0.05;-0.11; 0.04;thiswork           ; 1.293; 0.019; 1.519; 0.038; 2.279; 0.593; 0.1609; 0.1618; 0.0006; 0.0028;-4.7961;-4.7912; 0.0031; 1.599; 1.617; 0.011; 0.057;Simbad;018.60017;-07.92283
37 Lib                 ;    9;  7; 546; 96;2006-01-31T08:25:20.560;2007-07-31T01:29:47.561; 4.618; 0.010;1997A&A...323L..49P; 1.003; 0.030;2007A&A...474..653V; 35.192; 0.247;2018A&A...616A...1G;  28.42;0;K2;4955; 61.0; 3.58; 0.15; 0.09; 0.04;thiswork           ;      ;      ;      ;      ;      ;      ; 0.1196; 0.1194; 0.0009; 0.0038;-5.2434;-5.2445; 0.0039; 0.571; 0.570; 0.005; 0.022;Simbad;233.54459;-10.06453
41 Ara                 ;   72; 21;1044;163;2004-02-04T09:34:04.702;2007-09-07T01:18:22.695; 5.478; 0.010;1997A&A...323L..49P; 0.767; 0.400;2007A&A...474..653V;113.610; 0.690;2007A&A...474..653V;   8.80;0;K0;5239; 29.0; 4.39; 0.06;-0.30; 0.02;thiswork           ; 0.775; 0.025; 0.800; 0.015; 3.103; 7.905; 0.1739; 0.1737; 0.0006; 0.0013;-4.9956;-4.9962; 0.0027; 1.010; 1.009; 0.006; 0.014;Simbad;259.76598;-46.63624
53 Vir                 ;   34; 14;1989;254;2006-02-09T08:24:07.210;2011-07-23T01:05:50.547; 5.035; 0.010;1997A&A...323L..49P; 0.458; 0.000;2007A&A...474..653V; 30.327; 0.201;2018A&A...616A...1G;  32.97;0;F4;6614;107.0; 4.04; 0.09;-0.07; 0.06;thiswork           ; 1.512; 0.030; 2.161; 0.081; 2.000; 0.364; 0.1968; 0.1954; 0.0005; 0.0102;-4.6339;-4.6393; 0.0021; 2.323; 2.295; 0.011; 0.207;Simbad;198.01477;-16.19860
58 Oph                 ;   30;  1;   1;215;2007-03-04T08:40:49.886;2007-03-04T09:39:19.406; 4.867; 0.010;1997A&A...323L..49P; 0.472; 0.015;2007A&A...474..653V; 58.396; 0.257;2018A&A...616A...1G;  17.12;0;F4;6591; 79.0; 4.34; 0.08;-0.02; 0.05;thiswork           ; 1.275; 0.026; 1.252; 0.026; 0.523; 0.483; 0.1593; 0.1593; 0.0005; 0.0000;-4.8238;-4.8238; 0.0029; 1.500; 1.500; 0.010; 0.000;Simbad;265.85747;-21.68319
61 Vir                 ; 1251;227;4947;241;2004-01-22T08:41:20.746;2017-08-08T00:12:00.692; 4.777; 0.010;1997A&A...323L..49P; 0.722; 0.007;2007A&A...474..653V;117.573; 0.238;2018A&A...616A...1G;   8.51;3;G7;5559; 17.0; 4.30; 0.03;-0.01; 0.01;2013A&A...556A.150S; 0.920; 0.013; 0.942; 0.020; 7.686; 1.441; 0.1668; 0.1671; 0.0005; 0.0021;-5.0146;-5.0132; 0.0029; 0.967; 0.970; 0.006; 0.026;Simbad;199.60131;-18.31120
68 Eri                 ;   38; 18;1821;236;2006-02-11T01:49:57.689;2011-02-06T00:31:49.258; 5.109; 0.010;1997A&A...323L..49P; 0.455; 0.026;2007A&A...474..653V; 39.807; 0.143;2018A&A...616A...1G;  25.12;0;F5;6504; 62.0; 3.99; 0.08;-0.14; 0.04;thiswork           ; 1.310; 0.025; 1.662; 0.041; 2.573; 0.673; 0.1579; 0.1588; 0.0005; 0.0020;-4.8105;-4.8050; 0.0031; 1.547; 1.567; 0.011; 0.041;Simbad;077.18208;-04.45621
6 Cet                  ;   36; 16;2163;235;2005-08-19T06:14:11.000;2011-07-22T11:00:33.119; 4.888; 0.010;1997A&A...323L..49P; 0.486; 0.012;2007A&A...474..653V; 55.587; 0.332;2018A&A...616A...1G;  17.99;0;F7;6239; 35.0; 3.92; 0.04;-0.25; 0.02;thiswork           ; 1.090; 0.017; 1.446; 0.019; 5.238; 1.252; 0.1547; 0.1546; 0.0005; 0.0006;-4.8704;-4.8706; 0.0034; 1.348; 1.347; 0.010; 0.011;Simbad;002.81605;-15.46798
70 Oph A               ; 1792;  6;   5;158;2004-07-06T02:55:17.033;2004-07-11T06:38:02.108;      ;      ;                   ;      ;      ;                   ;       ;      ;                   ;       ; ;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3444; 0.3450; 0.0005; 0.0030;       ;       ;       ;      ;      ;      ;      ;Simbad;271.36404;+02.49981
79 Cet                 ;   32; 12;5174;148;2003-12-28T01:19:47.038;2018-02-26T00:11:03.872; 6.826; 0.010;1997A&A...323L..49P; 0.669; 0.004;2007A&A...474..653V; 26.436; 0.058;2018A&A...616A...1G;  37.83;1;G2;5806; 17.0; 4.03; 0.02; 0.16; 0.01;2013A&A...556A.150S; 1.102; 0.012; 1.446; 0.004; 6.844; 1.523; 0.1479; 0.1478; 0.0006; 0.0019;-5.1116;-5.1127; 0.0048; 0.773; 0.771; 0.009; 0.026;Simbad;038.83304;-03.56060
81 Cet                 ;   73;  5;   4;172;2009-09-08T06:46:26.377;2009-09-12T09:51:47.389; 5.626; 0.010;1997A&A...323L..49P; 1.012; 0.001;2007A&A...474..653V;  9.849; 0.118;2018A&A...616A...1G; 101.53;1;K3;4845; 51.0; 2.67; 0.19;-0.07; 0.04;2013A&A...556A.150S; 1.808; 0.231;10.882; 0.408; 1.749; 0.567; 0.1036; 0.1035; 0.0005; 0.0008;-5.3238;-5.3243; 0.0027; 0.474; 0.474; 0.003; 0.005;Simbad;039.42417;-03.39617
89 Leo                 ;   30; 15;4286;255;2006-05-21T01:03:06.262;2018-02-13T07:12:17.595; 5.778; 0.010;1997A&A...323L..49P; 0.486; 0.005;2007A&A...474..653V; 36.953; 0.082;2018A&A...616A...1G;  27.06;0;F3;6730;123.0; 4.36; 0.14; 0.13; 0.08;thiswork           ; 1.324; 0.026; 1.294; 0.031; 0.400; 0.366; 0.2070; 0.2069; 0.0006; 0.0026;-4.6253;-4.6257; 0.0020; 2.370; 2.368; 0.011; 0.051;Simbad;173.59145;+03.06016
94 Aqr                 ;  131; 25;1718;138;2003-10-27T02:03:26.842;2008-07-10T09:44:24.723; 5.205; 0.010;1997A&A...323L..49P; 0.789; 0.004;2007A&A...474..653V; 44.900; 0.557;2018A&A...616A...1G;  22.27;0;G7;5531; 31.0; 3.92; 0.06; 0.16; 0.02;thiswork           ; 1.221; 0.016; 2.009; 0.042; 5.355; 0.214; 0.1518; 0.1512; 0.0006; 0.0044;-5.1099;-5.1131; 0.0033; 0.776; 0.771; 0.006; 0.045;Simbad;349.77802;-13.45878
94 Cet                 ; 1736; 44;4428;252;2003-12-28T01:48:34.288;2016-02-11T01:15:47.073; 5.069; 0.010;1997A&A...323L..49P; 0.575; 0.005;2007A&A...474..653V; 44.369; 0.203;2018A&A...616A...1G;  22.54;1;F7;6289; 46.0; 4.13; 0.05; 0.24; 0.03;2013A&A...556A.150S; 1.375; 0.013; 1.608; 0.036; 2.231; 0.420; 0.1630; 0.1635; 0.0005; 0.0040;-4.9261;-4.9235; 0.0032; 1.186; 1.193; 0.009; 0.067;Simbad;048.19349;-01.19610
9 Cet                  ;   10; 10; 322; 89;2004-11-05T04:20:14.116;2005-09-23T07:37:09.285; 6.400; 0.010;1997A&A...323L..49P; 0.663; 0.004;2007A&A...474..653V; 46.926; 0.051;2018A&A...616A...1G;  21.31;0;G0;5919; 38.0; 4.34; 0.05; 0.30; 0.03;thiswork           ; 1.122; 0.000; 1.000; 0.000; 0.142; 0.013; 0.3319; 0.3409; 0.0013; 0.0109;-4.4782;-4.4624; 0.0024; 3.325; 3.448; 0.018; 0.151;Simbad;005.71578;-12.20944
alf CMi                ; 5712; 11; 309;324;2007-01-01T06:04:54.243;2007-11-06T08:27:20.833; 0.414; 0.010;1997A&A...323L..49P; 0.437; 0.015;2007A&A...474..653V;284.560; 1.260;2007A&A...474..653V;   3.51;0;F2;6775; 38.0; 3.74; 0.05; 0.12; 0.02;thiswork           ; 1.533; 0.018; 1.824; 0.023; 1.433; 0.385; 0.1744; 0.1745; 0.0005; 0.0002;-4.7046;-4.7044; 0.0024; 1.974; 1.975; 0.011; 0.005;Simbad;114.82550;+05.22499
alf Cen A              ; 5868; 59;5202;296;2004-02-04T08:42:33.184;2018-05-03T01:05:47.397; 0.047; 0.010;1997A&A...323L..49P; 0.730; 0.040;2007A&A...474..653V;754.810; 4.110;2007A&A...474..653V;   1.32;0;G1;5891; 45.0; 4.42; 0.09; 0.21; 0.03;thiswork           ; 1.125; 0.026; 1.114; 0.025; 2.314; 1.602; 0.1552; 0.1551; 0.0006; 0.0014;-5.0842;-5.0846; 0.0034; 0.824; 0.823; 0.007; 0.017;Simbad;219.90206;-60.83399
alf Cen B              ;19183;376;5202;272;2003-11-05T03:22:55.762;2018-05-03T01:04:55.264; 1.408; 0.010;1997A&A...323L..49P; 0.921; 0.020;2007A&A...474..653V;796.920;25.900;2007A&A...474..653V;   1.25;0;K1;5151; 61.0; 4.38; 0.13; 0.12; 0.04;thiswork           ; 0.863; 0.027; 0.808; 0.021; 4.337; 4.219; 0.2055; 0.2044; 0.0005; 0.0183;-4.9601;-4.9630; 0.0014; 1.096; 1.089; 0.004; 0.124;Simbad;219.89610;-60.83753
alf Cir                ; 4871; 36;2618;224;2004-05-22T04:07:23.124;2011-07-23T00:47:28.500; 3.188; 0.010;1997A&A...323L..49P; 0.259; 0.012;2007A&A...474..653V; 62.944; 0.428;2018A&A...616A...1G;  15.89;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3990; 0.3966; 0.0005; 0.0135;       ;       ;       ;      ;      ;      ;      ;Simbad;220.62675;-64.97514
alf For                ;  191; 24;1401;191;2003-11-06T05:52:07.578;2007-09-07T08:15:48.692; 3.810; 0.010;1997A&A...323L..49P; 0.546; 0.015;2007A&A...474..653V; 70.240; 0.450;2007A&A...474..653V;  14.24;0;F7;6250; 30.0; 3.87; 0.04;-0.12; 0.02;thiswork           ; 1.285; 0.045; 1.868; 0.043; 3.431; 0.788; 0.1489; 0.1489; 0.0005; 0.0007;-4.9886;-4.9884; 0.0039; 1.027; 1.027; 0.009; 0.012;Simbad;048.01886;-28.98762
alf Hor                ;  161; 10;1587;124;2004-10-29T04:30:11.205;2009-03-04T00:57:52.158; 3.846; 0.010;1997A&A...323L..49P; 1.083; 0.037;2007A&A...474..653V; 27.924; 0.277;2018A&A...616A...1G;  35.81;0;K4;4695; 50.0; 2.82; 0.12;-0.03; 0.03;thiswork           ; 1.409; 0.265; 9.931; 0.351; 3.561; 2.333; 0.1123; 0.1110; 0.0008; 0.0031;-5.3216;-5.3275; 0.0034; 0.477; 0.470; 0.004; 0.015;Simbad;063.50048;-42.29437
alf Ind                ;   14;  9; 743;265;2006-11-06T00:26:49.268;2008-11-18T00:32:59.707; 3.109; 0.010;1997A&A...323L..49P; 0.998; 0.004;2007A&A...474..653V; 34.319; 0.447;2018A&A...616A...1G;  29.14;0;K3;4896; 34.0; 2.96; 0.10;-0.05; 0.03;thiswork           ; 1.879; 0.130; 9.706; 0.294; 1.572; 0.273; 0.1084; 0.1087; 0.0006; 0.0007;-5.2951;-5.2938; 0.0029; 0.507; 0.508; 0.003; 0.004;Simbad;309.39180;-47.29150
alf Men                ;  263; 48;1298;174;2003-10-25T07:34:36.316;2007-05-25T23:12:44.334; 5.105; 0.010;1997A&A...323L..49P; 0.723; 0.015;2007A&A...474..653V; 97.898; 0.072;2018A&A...616A...1G;  10.21;0;G6;5595; 22.0; 4.20; 0.05; 0.11; 0.02;thiswork           ; 0.983; 0.016; 0.954; 0.008; 4.306; 1.428; 0.1750; 0.1755; 0.0006; 0.0051;-4.9730;-4.9702; 0.0028; 1.064; 1.071; 0.007; 0.061;Simbad;092.56031;-74.75305
alf Mon                ;   41;  9; 807;150;2006-12-16T03:45:49.495;2009-03-02T04:15:03.945; 3.958; 0.010;1997A&A...323L..49P; 1.027; 0.019;2007A&A...474..653V; 23.280; 0.365;2018A&A...616A...1G;  42.96;0;K3;4843; 38.0; 2.81; 0.08;-0.01; 0.03;thiswork           ; 1.780; 0.111;10.056; 0.326; 1.824; 0.283; 0.1046; 0.1043; 0.0006; 0.0017;-5.3233;-5.3247; 0.0032; 0.475; 0.473; 0.004; 0.009;Simbad;115.31180;-09.55113
alf Ret                ;    7;  7; 813;131;2006-11-05T04:28:42.075;2009-01-26T01:14:55.496; 3.323; 0.010;1997A&A...323L..49P; 0.913; 0.006;2007A&A...474..653V; 20.542; 0.387;2018A&A...616A...1G;  48.68;0;K0;5282; 40.0; 3.06; 0.07; 0.20; 0.04;thiswork           ; 2.923; 0.044;11.750; 0.419; 0.427; 0.015; 0.1450; 0.1425; 0.0007; 0.0072;-5.1179;-5.1288; 0.0031; 0.762; 0.743; 0.005; 0.053;Simbad;063.60618;-62.47386
* b03 Hya              ;   40; 18;1989;253;2006-02-09T06:54:16.318;2011-07-22T22:49:52.173; 5.232; 0.010;1997A&A...323L..49P; 0.481; 0.010;2007A&A...474..653V; 33.072; 0.140;2018A&A...616A...1G;  30.24;0;F5;6545; 48.0; 3.93; 0.08; 0.24; 0.03;thiswork           ; 1.512; 0.012; 1.832; 0.037; 1.647; 0.553; 0.1588; 0.1597; 0.0005; 0.0065;-4.8379;-4.8327; 0.0032; 1.452; 1.470; 0.011; 0.127;Simbad;163.37305;-20.13873
bet Aql                ; 2397; 21;1017;188;2005-09-01T23:35:46.999;2008-06-15T10:49:21.785; 3.736; 0.010;1997A&A...323L..49P; 0.864; 0.007;2007A&A...474..653V; 74.763; 0.362;2018A&A...616A...1G;  13.38;0;K1;5149; 33.0; 3.75; 0.09;-0.13; 0.02;thiswork           ; 1.337; 0.021; 2.917; 0.073; 3.528; 0.119; 0.1400; 0.1396; 0.0005; 0.0012;-5.1481;-5.1500; 0.0026; 0.711; 0.708; 0.004; 0.010;Simbad;298.82830;+06.40676
bet Crv                ;    7;  6; 309;223;2008-06-05T02:07:54.173;2009-04-10T03:29:49.611; 2.649; 0.010;1997A&A...323L..49P; 0.893; 0.018;2007A&A...474..653V; 20.000; 0.922;2018A&A...616A...1G;  50.00;0;G9;5354; 36.0; 2.86; 0.06; 0.12; 0.03;thiswork           ; 3.342; 0.077;15.841; 0.720; 0.294; 0.018; 0.1302; 0.1300; 0.0006; 0.0029;-5.1902;-5.1911; 0.0030; 0.645; 0.644; 0.005; 0.023;Simbad;188.59681;-23.39676
bet Hyi                ; 2880; 34;1838;147;2003-11-06T02:22:10.544;2008-11-17T01:16:39.503; 2.865; 0.010;1997A&A...323L..49P; 0.634; 0.008;2007A&A...474..653V;134.070; 0.110;2007A&A...474..653V;   7.46;0;G0;5901; 19.0; 3.92; 0.03;-0.04; 0.02;thiswork           ; 1.124; 0.011; 1.737; 0.010; 6.267; 1.286; 0.1509; 0.1517; 0.0006; 0.0027;-5.1192;-5.1121; 0.0051; 0.760; 0.772; 0.009; 0.039;Simbad;006.43779;-77.25425
bet Lep                ;   13;  8;1204;155;2005-11-14T05:55:20.382;2009-03-02T03:06:27.679; 2.813; 0.010;1997A&A...323L..49P; 0.808; 0.027;2007A&A...474..653V; 23.172; 0.448;2018A&A...616A...1G;  43.16;0;G9;5398; 26.0; 2.88; 0.06;-0.08; 0.02;thiswork           ; 2.948; 0.031;12.573; 0.153; 0.391; 0.011; 0.1249; 0.1247; 0.0006; 0.0012;-5.2769;-5.2787; 0.0051; 0.529; 0.526; 0.006; 0.012;Simbad;082.06135;-20.75944
bet Vir                ;  181; 10;1738;196;2004-07-06T23:12:44.362;2009-04-10T03:18:35.485; 3.598; 0.010;1997A&A...323L..49P; 0.521; 0.015;2007A&A...474..653V; 89.926; 0.520;2018A&A...616A...1G;  11.12;0;F7;6246; 20.0; 3.97; 0.03; 0.24; 0.02;thiswork           ; 1.350; 0.006; 1.586; 0.010; 2.350; 0.758; 0.1647; 0.1657; 0.0007; 0.0044;-4.8538;-4.8482; 0.0040; 1.400; 1.418; 0.013; 0.080;Simbad;177.67383;+01.76472
del Crt                ;   19;  4; 731;202;2007-03-04T05:28:47.730;2009-03-04T07:36:45.129; 3.558; 0.010;1997A&A...323L..49P; 1.111; 0.018;2007A&A...474..653V; 20.051; 0.531;2018A&A...616A...1G;  49.87;0;K4;4605; 33.0; 2.46; 0.09;-0.40; 0.02;thiswork           ; 1.468; 0.165;16.205; 0.605; 2.424; 0.879; 0.1140; 0.1147; 0.0006; 0.0020;-5.3390;-5.3362; 0.0025; 0.458; 0.461; 0.003; 0.009;Simbad;169.83520;-14.77854
del Eri                ; 1208;152;4878;279;2003-10-28T05:58:53.862;2017-03-06T00:24:37.725; 3.545; 0.010;1997A&A...323L..49P; 0.924; 0.018;2007A&A...474..653V;110.217; 0.417;2018A&A...616A...1G;   9.07;0;K2;5035; 39.0; 3.80; 0.08; 0.07; 0.03;thiswork           ; 1.154; 0.018; 2.294; 0.056; 6.643; 0.339; 0.1343; 0.1344; 0.0005; 0.0018;-5.1653;-5.1648; 0.0024; 0.683; 0.684; 0.004; 0.013;Simbad;055.81209;-09.76339
del Pav                ; 6002;448;4725;245;2003-10-25T00:30:08.371;2016-10-01T03:49:52.005; 3.571; 0.010;1997A&A...323L..49P; 0.759; 0.021;2007A&A...474..653V;164.053; 0.355;2018A&A...616A...1G;   6.10;0;G5;5644; 30.0; 4.12; 0.05; 0.36; 0.02;thiswork           ; 1.064; 0.013; 1.115; 0.025; 5.041; 1.226; 0.1480; 0.1483; 0.0005; 0.0020;-5.1338;-5.1315; 0.0034; 0.735; 0.739; 0.006; 0.022;Simbad;302.18171;-66.18207
del Phe                ;   11; 10;3117;109;2006-11-05T03:21:32.118;2015-05-19T10:14:02.858; 3.924; 0.010;1997A&A...323L..49P; 0.970; 0.038;2007A&A...474..653V; 23.350; 0.241;2018A&A...616A...1G;  42.83;0;K3;4925; 25.0; 2.89; 0.06;-0.22; 0.02;thiswork           ; 1.765; 0.052; 9.579; 0.156; 1.604; 0.135; 0.1073; 0.1069; 0.0008; 0.0027;-5.2988;-5.3011; 0.0047; 0.503; 0.500; 0.005; 0.017;Simbad;022.81294;-49.07270
e Eri                  ; 6752;637;4497;260;2003-10-25T06:17:42.861;2016-02-16T01:26:17.005; 4.268; 0.010;1997A&A...323L..49P; 0.714; 0.005;2007A&A...474..653V;166.561; 0.235;2018A&A...616A...1G;   6.00;4;G9;5401; 17.0; 4.40; 0.03;-0.40; 0.01;2013A&A...556A.150S; 0.871; 0.003; 0.911; 0.007; 0.024; 0.001; 0.1687; 0.1688; 0.0005; 0.0014;-5.0007;-5.0003; 0.0028; 0.998; 0.999; 0.006; 0.017;Simbad;049.98188;-43.06978
